,actual,test
0,35.27,
1,35.27,
2,35.27,
3,35.27,
4,35.27,
5,35.27,
6,35.27,
7,35.27,
8,35.27,
9,35.27,
10,35.27,
11,35.27,
12,35.25,
13,35.25,
14,35.25,
15,35.25,
16,35.25,
17,35.25,
18,35.25,
19,35.25,
20,35.25,
21,35.25,
22,35.25,
23,35.25,
24,35.23,
25,35.23,
26,35.23,
27,35.23,
28,35.23,
29,35.23,
30,35.23,
31,35.23,
32,35.23,
33,35.23,
34,35.23,
35,35.23,
36,35.09,
37,35.09,
38,35.09,
39,35.09,
40,35.09,
41,35.09,
42,35.09,
43,35.09,
44,35.09,
45,35.09,
46,35.09,
47,35.09,
48,35.1,
49,35.1,
50,35.1,
51,35.1,
52,35.1,
53,35.1,
54,35.1,
55,35.1,
56,35.1,
57,35.1,
58,35.1,
59,35.1,
60,35.12,
61,35.12,
62,35.12,
63,35.12,
64,35.12,
65,35.12,
66,35.12,
67,35.12,
68,35.12,
69,35.12,
70,35.12,
71,35.12,
72,35.13,
73,35.13,
74,35.13,
75,35.13,
76,35.13,
77,35.13,
78,35.13,
79,35.13,
80,35.13,
81,35.13,
82,35.13,
83,35.13,
84,34.95,
85,34.95,
86,34.95,
87,34.95,
88,34.95,
89,34.95,
90,34.95,
91,34.95,
92,34.95,
93,34.95,
94,34.95,
95,34.95,
96,35.5,
97,36.0,
98,37.0,
99,37.86,
100,40.7,
101,41.14,
102,39.46,
103,39.19,
104,40.18,
105,39.210003,
106,39.78,
107,41.079998,
108,42.3,
109,42.6,
110,43.16,
111,43.31,
112,43.46,
113,41.44,
114,41.76,
115,41.09,
116,40.87,
117,40.44,
118,37.4,
119,35.17,
120,34.94,
121,34.99,
122,35.09,
123,35.62,
124,35.95,
125,35.42,
126,35.32,
127,35.38,
128,36.19,
129,37.52,
130,37.44,
131,37.44,
132,37.88,
133,38.74,
134,38.87,
135,39.01,
136,40.52,
137,40.1,
138,40.95,
139,42.71,
140,42.03,
141,42.5,
142,42.86,
143,43.48,
144,45.75,
145,48.26,
146,48.33,
147,49.029995,
148,54.62,
149,62.09,
150,65.66,
151,67.03,
152,65.46,
153,64.86,
154,62.91,
155,63.91,
156,65.14,
157,74.2,
158,84.37,
159,90.50001,
160,101.96,
161,120.12,
162,120.17,
163,106.76,
164,102.97,
165,100.08,
166,94.92,
167,106.72,
168,129.19,
169,150.13,
170,168.42,
171,172.24,
172,163.27,
173,154.1,
174,142.98,
175,154.64,
176,151.75,
177,158.78,
178,181.66,
179,183.78,
180,176.26999,
181,179.6,
182,178.15999,
183,169.84,
184,167.39,
185,164.24002,
186,165.17,
187,163.0,
188,144.17,
189,142.79,
190,142.42,
191,139.3,
192,131.04999,
193,131.05998,
194,132.76,
195,127.939995,
196,126.91999,
197,125.71,
198,117.73,
199,109.92999,
200,114.149994,
201,116.149994,
202,130.45999,
203,133.93,
204,132.25998,
205,136.24,
206,148.23,
207,149.17,
208,146.60999,
209,140.77998,
210,143.39,
211,144.94,
212,149.52998,
213,158.95,
214,162.1,
215,160.45001,
216,173.18,
217,178.14,
218,183.61,
219,175.28,
220,176.31,
221,183.75002,
222,188.72998,
223,206.3,
224,212.08,
225,227.44,
226,206.2,
227,207.85,
228,227.28,
229,245.67,
230,242.05,
231,239.11002,
232,257.59,
233,279.07,
234,294.74,
235,300.82,
236,354.94998,
237,391.66,
238,391.99,
239,455.08,
240,675.31,
241,665.32,
242,553.58,
243,517.41,
244,513.8,
245,600.72,
246,643.27,
247,627.15,
248,673.63,
249,661.15,
250,624.77,
251,538.26,
252,557.39,
253,499.76,
254,499.11,
255,495.8,
256,479.7,
257,461.09,
258,409.07,
259,410.16,
260,443.75,
261,437.76,
262,413.37,
263,410.09,
264,384.14,
265,374.13,
266,330.25,
267,350.30002,
268,333.71,
269,314.98,
270,338.97,
271,364.22998,
272,437.31,
273,422.15,
274,414.89,
275,444.5,
276,481.29,
277,491.09,
278,419.7,
279,432.88,
280,438.01,
281,412.84,
282,402.90997,
283,416.2,
284,411.8,
285,393.6,
286,381.7,
287,388.34,
288,370.89,
289,385.96,
290,394.26,
291,381.37,
292,377.4,
293,377.7,
294,347.70996,
295,347.7,
296,340.2,
297,341.0,
298,342.0,
299,319.54004,
300,302.79,
301,299.1,
302,313.49997,
303,326.8,
304,316.0,
305,316.5,
306,317.2,
307,330.4,
308,323.35,
309,325.85,
310,321.5,
311,321.9,
312,347.48,
313,338.89,
314,345.7,
315,340.44,
316,342.4,
317,342.7,
318,348.34,
319,376.66,
320,417.73,
321,423.51,
322,397.56,
323,390.92,
324,408.26,
325,401.12,
326,408.91,
327,438.35,
328,460.23,
329,449.59,
